Name,Gap,Offset,Finish,Schedule
North Shore Up,15,0,"1,200","Berowra,Mt Ku-Ring Gai,Mount Colah,Asquith,Hornsby,Waitara,Wahroonga,Warrawee,Turramurra,Pymble,Gordon,Killara,Lindfield,Roseville,Chatswood"
North Shore Down,15,0,"1,200","Chatswood,Roseville,Lindfield,Killara,Gordon,Pymble,Turramurra,Warrawee,Wahroonga,Waitara,Hornsby,Asquith,Mount Colah,Mt Ku-Ring Gai,Berowra"
